"Número do Teste", "Tempo Médio de Criação do Bloco (s) - Sem HE", "Tempo Médio de Criação do Bloco (s) - Com HE", "Diferença no Tempo de Criação do Bloco (s)", "Diferença no Tempo de Criação do Bloco (%)", "TPS - Sem HE", "TPS - Com HE", "Diferença no TPS", "Diferença no TPS (%)", "Tempo Médio de Mineração (s) - Sem HE", "Tempo Médio de Mineração (s) - Com HE", "Diferença no Tempo de Mineração (s)", "Diferença no Tempo de Mineração (%)", "Tamanho Médio do Bloco (bytes) - Sem HE", "Tamanho Médio do Bloco (bytes) - Com HE", "Diferença no Tamanho Médio do Bloco (bytes)"
1, 0.0017, 1.2794, 1.2777, 75.2%, 3023.0525, 3.9081, -3019.1444, -99.87%, 0.0005, 0.0002, -0.0003, -60%, 271.2000, 270.8, -0.4
2, 0.0016, 2.5304, 2.5288, 158.0%, 6278.0524, 3.9520, -6274.1004, -99.94%, 0.0003, 0.0003, 0.0000, 0%, 271.4000, 271.3, -0.1
3, 0.0028, 5.0014, 4.9986, 178.5%, 7159.1647, 3.9989, -7155.1658, -99.94%, 0.0003, 0.0007, 0.0004, 133.3%, 271.3000, 271.4, 0.1
4, 0.0021, 2.5154, 2.5133, 119.3%, 4697.6054, 3.9755, -4693.6299, -99.92%, 0.0005, 0.0003, -0.0002, -40%, 271.6000, 271.4, -0.2
5, 0.0022, 5.2295, 5.2273, 237.6%, 8890.9936, 3.8244, -8887.1692, -99.96%, 0.0004, 0.0005, 0.0001, 25%, 271.6000, 271.6, 0.0
6, 0.0203, 1.2812, 1.2609, 6.2%, 245.9979, 3.9027, -242.0952, -99.84%, 0.0079, 0.0032, -0.0047, -59.5%, 271.2000, 271.0, -0.2
7, 0.0205, 2.5504, 2.5299, 123.6%, 486.6646, 3.9210, -482.7436, -99.19%, 0.0040, 0.0072, 0.0032, 80%, 271.2000, 271.0, -0.2
8, 0.0298, 5.1222, 5.0924, 170.0%, 670.5340, 3.9046, -666.6294, -99.42%, 0.0051, 0.0064, 0.0013, 25.5%, 271.2000, 271.6, 0.4
9, 0.0228, 2.5734, 2.5506, 112.4%, 438.5361, 3.8858, -434.6503, -99.11%, 0.0099, 0.0069, -0.0030, -30.3%, 271.6000, 271.65, 0.05
10, 0.0417, 5.0639, 5.0222, 120.5%, 479.5265, 3.9496, -475.5769, -99.17%, 0.0095, 0.0086, -0.0009, -9.5%, 271.5500, 271.6, 0.05
